#name       mass  charge    H   He    C    N    O   Si    S   Fe   Na   Mg   Cl    P    F
S2+           64       1    0    0    0    0    0    0    2    0    0    0    0    0    0
SiC+          40       1    0    0    1    0    0    1    0    0    0    0    0    0    0
SiN+          42       1    0    0    0    1    0    1    0    0    0    0    0    0    0
SiO+          44       1    0    0    0    0    1    1    0    0    0    0    0    0    0
SiS+          60       1    0    0    0    0    0    1    1    0    0    0    0    0    0
SiF+          47       1    0    0    0    0    0    1    0    0    0    0    0    0    1
CH2+          14       1    2    0    1    0    0    0    0    0    0    0    0    0    0
C2N+          38       1    0    0    2    1    0    0    0    0    0    0    0    0    0
CNC+          38       1    0    0    2    1    0    0    0    0    0    0    0    0    0
HSiO+         45       1    1    0    0    0    1    1    0    0    0    0    0    0    0
N2H+          29       1    1    0    0    2    0    0    0    0    0    0    0    0    0
C2H+          25       1    1    0    2    0    0    0    0    0    0    0    0    0    0
H3+            3       1    3    0    0    0    0    0    0    0    0    0    0    0    0
C3-           36      -1    0    0    3    0    0    0    0    0    0    0    0    0    0
HCO+          29       1    1    0    1    0    1    0    0    0    0    0    0    0    0
HSO+          49       1    1    0    0    0    1    0    1    0    0    0    0    0    0
H2S+          34       1    2    0    0    0    0    0    1    0    0    0    0    0    0
HCS+          45       1    1    0    1    0    0    0    1    0    0    0    0    0    0
HPO+          48       1    1    0    0    0    1    0    0    0    0    0    0    1    0
C2O+          40       1    0    0    2    0    1    0    0    0    0    0    0    0    0
C2S+          56       1    0    0    2    0    0    0    1    0    0    0    0    0    0
C3+           36       1    0    0    3    0    0    0    0    0    0    0    0    0    0
CCP+          55       1    0    0    2    0    0    0    0    0    0    0    0    1    0
CHSi+         41       1    1    0    1    0    0    1    0    0    0    0    0    0    0
CO2+          44       1    0    0    1    0    2    0    0    0    0    0    0    0    0
H2Cl+         37       1    2    0    0    0    0    0    0    0    0    0    1    0    0
H2F+          21       1    2    0    0    0    0    0    0    0    0    0    0    0    1
