CH3SH       0  4  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   198
NH2CHS      0  3  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   199
HCCCHS      0  2  0  3  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   200
C5S         0  0  0  5  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   201
H2C3S       0  2  0  3  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   202
HNCHSH      0  3  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   203
H2C3O       0  2  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   204
c-C3H2O     0  2  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   205
CH3CCH      0  4  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   206
SiC2CH3     0  3  0  3  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   207
CH3CHO      0  4  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   208
C2H5        0  5  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   209
CH2CHCN     0  3  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   210
C5H2        0  2  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   211
C6H         0  1  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   212
C7          0  0  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   213
CH3NH2      0  5  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   214
HC5N        0  1  0  5  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   215
C3H2CN      0  2  0  4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   216
C4H3        0  3  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   217
CH2CCH2     0  4  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   218
C6N         0  0  0  6  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   219
CH3CHS      0  4  0  2  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   220
NH2CH2S     0  4  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   221
NH2CHSH     0  4  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   222
CH3NCO      0  3  0  2  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   223
NC6N        0  0  0  6  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   224
C4H4        0  4  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   225
SiC6H       0  1  0  6  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   226
C6H2        0  2  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   227
C7H         0  1  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   228
C7N         0  0  0  7  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   229
C8          0  0  0  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   230
CH3C3N      0  3  0  4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   231
HCOOCH3     0  4  0  2  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   232
HC6N        0  1  0  6  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   233
C2H3NH2     0  5  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   234
C2H6        0  6  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   235
C3H5        0  5  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   236
C4H2CN      0  2  0  5  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   237
C5H3        0  3  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   238
CH3OCH2     0  5  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   239
C7O         0  0  0  7  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   240
NH2CH2SH    0  5  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   241
C2H3CHO     0  4  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   242
